KN Gallery,"Mobile Based",/value/gallery/kn/,ja,"私は、この小さなギャラリーを持って色んな場所に滞在し、その時その場所にあったものをこのギャラリーに展示します。<br/>
偶然見つけた私にとってはとても魅力的で手放せない大切なものを、これからも訪れる先々で見つけ、たくさん集めたいと思っています。",none,,gallery
２つ,"KN Gallery",/value/gallery/kn/april26/,en,"会期：2022年5月10日（火）- 14日（土）｜アポイントメント制",block,/value/gallery/kn/april26/image.JPG,show
小さな器,"KN Gallery",/value/gallery/kn/archive/,en,"会期：2022年4月26日（火）- 5月4日（水）｜時間 場所 非公開",block,/value/gallery/kn/archive/00.JPG,show
大切にすることを大切にするためのギャラリー,"by Appointment Only",/value/gallery/,en,"新しいプロジェクト「大切にすることを大切にするためのギャラリー」を開始します。",none,,topics
pe.hu,"ささじまかずま",/value/online/motto/,en,"MOTTO | ペフの由来と名前の意味",none,,valuing
Sign,"∧° ┐ | creative, community space",/value/online/sign/,ja,"オープニングパーティで披露した歌の歌詞
作曲 Le Makeup / 作詞 中尾香織・ささじまかずま",none,,peoples
That Smell,Kazuma Sasajima,/value/online/sample/,en,"大切にすることを大切にするための本 未収録エッセイ
Outtake from the book for valuing an act of valuing.",none,,things
In The Wind,Kazuma Sasajima,/value/online/sample_en/,en,"",block,/value/online/sample_en/image.jpg,objects
ペフのみんなで凧を空に飛ばしたこと,大橋優斗,/value/online/2020/yutoohashi/,ja,,none,,things
先輩からもらったベッド,黒木結,/value/online/2020/yuikuroki/,ja,,none,,objects
Dorstenia Crispa,YeXuQo,/value/online/2020/yexuqo/,en,,block,/value/online/2020/yexuqo/image.jpg,objects
家族と仲間,Yamamoo,/value/online/2020/yamamoo/,en,,block,/value/online/2020/yamamoo/image.jpg,peoples
矜持を保つこと,wanna be youth,/value/online/2020/wannabeyouth/,ja,,none,,peoples
記憶のぶんれいばこ,Kakita Ibuki,/value/online/2020/kakitaibuki/,en,,block,/value/online/2020/kakitaibuki/image.jpg,objects
テレビ,Kenny Pain,/value/online/2020/kennypain/,ja,,none,,peoples
玄関にかけてあるミモザの鏡,りえ,/value/online/2020/rie/,en,,block,/value/online/2020/rie/image.jpg,objects
拾ってきた石,seaketa,/value/online/2020/seaketa/,en,,block,/value/online/2020/seaketa/image.jpg,objects
「"ラ"の音を、みんなで合うまで歌う」というアイデア,山村祥子,/value/online/2020/shokoyamamura/,ja,,none,,things
ラジオ,ソウ,/value/online/2020/sou/,en,,block,/value/online/2020/sou/image.jpg,peoples
自分自身の感性,Jackdoe,/value/online/2020/jackdoe/,ja,,none,,jackdoe
TAKAPOP,イトウ ヒロキ,/value/online/2020/itochan/,en,,block,/value/online/2020/itochan/image.jpg,objects
質実剛健（座右の銘）,宙空一派,/value/online/2020/chukuippa/,ja,,none,none,valuing
手のひらの厚み、その温度,廣野鮎美,/value/online/2020/ayumihirono/,en,,block,/value/online/2020/ayumihirono/image.jpg,peoples
postcard,浅野充利,/value/online/2020/asano/,en,,block,/value/online/2020/asano/image.jpg,objects
白ごはん,2n2n,/value/online/2020/2n2n/,en,,block,/value/online/2020/2n2n/image.jpg,things
今でも大切？,Special Edition,/value/still/,en,"2020.5.30 発売開始",block,/value/still/000.png,topics
大切にすることを大切にするための本,the book for valuing an act of valuing,/value/book/,en,"2019.11.23 発売開始",block,/value/book/book.png,topics
NS5,Niceshop Su 5th anniversary exhibition,http://vg.pe.hu/2f/ns5.html,en,"2019年2月22日-3月8日
ナイスショップスーの大切な人たちの大切なものを集めた展覧会を開催",none,,topics
